step,district,population,perimeter,area,polsby_popper,dem_votes,rep_votes,other_votes
2000,2,821511.0,479651.7433521097,2381095546.2292604,0.13005726955208277,233609,140643,18624
2000,1,823021.0,1757158.0373796513,34365227035.98173,0.13986447992189116,113512,238207,21389
2000,3,815555.0,3229408.0152788414,177659827903.57452,0.21406874521512761,105765,249750,16901
2000,4,811529.0,655258.916638969,5402525816.416971,0.1581178265425774,107396,236540,24306
2020,2,819250.0,2340511.202942228,147110812976.18445,0.33746832124156173,102895,281741,20143
2020,1,815781.0,1086041.2098187406,22900513742.582817,0.24398463622407804,118051,210412,22209
2020,3,822990.0,1683340.5768435895,48590542476.18226,0.21548528934482428,112201,239029,20899
2020,4,813595.0,326846.59817182674,1206807107.2527342,0.14195797149216532,227135,133958,17969
2040,2,819413.0,717512.2380274049,7961778646.26485,0.19433961472055192,195072,147784,18383
2040,1,814745.0,551232.1724118417,2726806549.585064,0.11277038897142036,161834,208558,22503
2040,3,812161.0,1348483.0994688603,41374080177.10344,0.28592175448930723,118904,233969,21357
2040,4,825297.0,2156847.449290495,167746010929.24902,0.453130407795144,84472,274829,18977
2060,2,812674.0,2853220.7430897625,174090573320.55066,0.26872889981888587,93570,275378,17532
2060,1,822383.0,1340535.4836671925,21343483231.63366,0.1492514410298743,203889,187338,21372
2060,3,813934.0,845075.5946177266,16133082505.153366,0.28388085167690147,149855,162958,17706
2060,4,822625.0,675259.7032371251,8241537244.864792,0.22713100498152816,112968,239466,24610
2080,2,824172.0,872703.9202041159,29357727608.18603,0.48439365637016185,120123,234860,22454
2080,1,812636.0,272558.16048186657,881796021.7535154,0.14916248852662203,205481,134008,17436
2080,3,824576.0,2447631.9337937133,147133731415.103,0.30862413925634535,135754,269628,18773
2080,4,810232.0,1445015.1600193644,42435421257.15988,0.2553839353637101,98924,226644,22557
2100,2,819773.0,2221945.6891094786,120989642025.79651,0.3079577778462442,152316,199091,16527
2100,1,813535.0,830163.48486323,28134131190.345078,0.5129985276521352,117640,233316,22291
2100,3,824030.0,2094242.3225826034,66315595081.585175,0.19000790570072842,180225,211919,20018
2100,4,814278.0,572121.9439874088,4369308004.47567,0.16774335041726546,110101,220814,22384
2120,2,818060.0,308425.84185214806,762123592.2079343,0.10067780819712427,197917,174613,19257
2120,1,822199.0,931228.8532353946,31352271666.29818,0.4543243670636083,120180,222354,21409
2120,3,814637.0,2360018.615982254,160210865597.2646,0.3614689299176048,134714,267059,19276
2120,4,816720.0,1140123.636925958,27483415446.43168,0.26569089258156486,107471,201114,21278
2140,2,822524.0,277135.03595106996,1260670076.2648587,0.20626637736736897,200795,141459,18072
2140,1,810956.0,2522118.890244928,170364429320.5614,0.3365562631275736,142755,258054,17436
2140,3,813798.0,982225.1289936829,29137498757.41997,0.37952470415418105,118171,222918,21539
2140,4,824338.0,1129487.644169901,19046078147.95601,0.18760847670079286,98561,242709,24173
2160,2,815893.0,330219.2218791888,1676216656.9299314,0.1931680593090353,225145,168172,20022
2160,1,815187.0,2212985.7995309774,118786254090.55118,0.3048026909897671,89509,260620,20061
2160,3,820193.0,2893660.400024252,94700870031.62213,0.1421244218496664,109360,236900,19890
2160,4,820343.0,800729.0509558283,4645335523.099134,0.09104493310426935,136268,199448,21247
2180,2,822129.0,755372.1683616803,8157458631.794038,0.17965643834293796,159123,219167,21655
2180,1,814100.0,1050498.588490202,10009861467.123322,0.11398481131724816,204665,143363,18647
2180,3,810164.0,2225978.723392133,72570685233.83456,0.18404713870877165,105693,237380,19745
2180,4,825223.0,2718156.8099657334,129070670969.45042,0.21952723974415242,90801,265230,21173
2200,2,821087.0,2192008.253819661,166179390729.7717,0.4346129434652888,96411,276782,18418
2200,1,810349.0,442518.1972552601,1760792670.3623278,0.11299411286259162,151687,205842,23139
2200,3,816978.0,1740933.15105779,48519796923.58666,0.20117066336155,109270,239132,21086
2200,4,823202.0,709018.9934488555,3348695978.4816217,0.08370855515115132,202914,143384,18577
2220,2,810666.0,2090829.4246560642,162756739757.20547,0.46785539195100007,85764,266786,18854
2220,1,812620.0,679423.890379558,3133436055.1622057,0.08530000818676048,203912,134214,17649
2220,3,826016.0,407512.8568740024,2161282163.038689,0.16354553922622608,157646,228900,23315
2220,4,822314.0,1193140.135993978,51757218326.796196,0.4568755119778237,112960,235240,21402
2240,2,821407.0,961957.8265932507,6268305619.400492,0.08512320402095906,137972,227333,23266
2240,1,819866.0,2289971.7765825763,157214610952.39172,0.3767406734510181,158602,242352,18566
2240,3,820388.0,858312.5080027516,28782142312.37523,0.4909554634779287,118286,228505,21942
2240,4,809955.0,1242043.7079244617,27543617418.035015,0.22436601954868954,145422,166950,17446
2260,2,821992.0,531671.317900633,2072589160.0516996,0.09213754203513361,199113,168722,18799
2260,1,817244.0,2748952.1538254665,201728611855.48767,0.3354617453820492,84261,286113,17977
2260,3,810668.0,993445.9028803839,12048363404.018871,0.15340851864642405,145059,180813,19755
2260,4,821712.0,507312.24956294487,3959111882.6441326,0.19331116630467243,131849,229492,24689
2280,2,820673.0,258161.37124569385,1314973012.7323594,0.2479386233474626,179340,205597,21323
2280,1,824596.0,1110338.7322378836,36613577069.89734,0.3731994931613655,127303,185846,17359
2280,3,812239.0,1972695.3463929095,42679318649.80282,0.13781843102029417,165979,213348,22820
2280,4,814108.0,2102047.8903329317,139200807569.7699,0.3958825932190611,87660,260349,19718
2300,2,822833.0,1047896.1600972239,12628977241.543201,0.14452452369812832,204128,138513,17728
2300,1,813680.0,2472942.7945480784,64833140227.762794,0.13322286870344532,108977,237119,20876
2300,3,815517.0,2156801.5183933424,135830385205.69444,0.36693271569388275,88552,261856,19827
2300,4,819586.0,910201.6237542457,6516173627.202117,0.09883876267089663,158625,227652,22789
2320,2,813812.0,806247.2062437646,26859360976.284866,0.519241139658108,117521,232491,22337
2320,1,815923.0,392713.6712475695,3294830519.655693,0.26846699616079,168620,168378,18248
2320,3,816216.0,2153443.956623804,158815814524.14017,0.43036452271043224,171800,224699,16508
2320,4,825665.0,1050614.8665834204,30838670282.12175,0.35108997093412914,102341,239572,24127
2340,2,815110.0,2224315.852366908,119326238251.42867,0.3030769441719967,148428,209354,17270
2340,1,820464.0,3006591.7103773877,91305511525.05974,0.12692814891878357,109161,239892,20431
2340,3,812908.0,333803.86065217335,1864681860.2560666,0.21029642968431278,152943,193261,19821
2340,4,823134.0,829116.327749006,7312244665.457993,0.13366867491124101,149750,222633,23698
2360,2,823045.0,2462603.8926174436,159735789760.10886,0.33099617424661004,84143,264869,18195
2360,1,810207.0,1012118.1619591652,10977098153.27035,0.1346588729653302,188103,187915,21605
2360,3,823569.0,2062547.9532493993,48070256521.42828,0.14199668144770658,119375,232984,22556
2360,4,814795.0,287491.5604248701,1025531867.3950211,0.1559225123965413,168661,179372,18864
2380,2,818407.0,1783091.3181672625,28931851211.899967,0.1143507233356096,115971,228822,21411
2380,1,820915.0,2535920.8346438324,162774726046.7475,0.31807201014556047,88819,266376,19822
2380,3,819954.0,600876.4211144042,3321521631.9910836,0.11560500176672038,222676,182459,22287
2380,4,812340.0,1069457.8530193074,24780577411.5639,0.2722663304006425,132816,187483,17700
2400,2,825855.0,356325.52924862946,1372656306.9037857,0.1358556786099511,191054,141233,17539
2400,1,815286.0,2270033.3197262986,174145522671.2058,0.4246759954291691,86597,264896,18993
2400,3,819051.0,1270692.6807933706,34515781781.94625,0.2686250577383455,107702,232259,20653
2400,4,811424.0,1042353.9361197315,9774715542.146643,0.1130533849792811,174929,226752,24035
2420,2,818152.0,2473269.532357201,166774328123.80338,0.34260694997085944,88251,265059,19768
2420,1,817062.0,676302.7302335578,4895892088.870378,0.13451150118461844,223744,167327,19710
2420,3,816310.0,726944.7391364762,6055521590.347571,0.14399871780613946,134841,194666,20123
