step,district,population,perimeter,area,polsby_popper,dem_votes,rep_votes,other_votes
2000,2,823502.0,1046694.5334865416,24066446252.27127,0.27604629169051154,126152,203333,20578
2000,1,816645.0,2192422.876441775,166363415198.72134,0.4349296759211452,92524,279167,20314
2000,3,821738.0,1036247.8153180853,28129542250.844578,0.3291889685242831,168779,210210,21595
2000,4,809731.0,262856.16753186565,1249272600.3654785,0.22721172340978782,172827,172430,18733
2020,2,824187.0,888410.9079626105,29628293367.138584,0.47172482911087166,118995,219670,20838
2020,1,813076.0,2213697.357904566,151776986060.50266,0.38920579238485875,110198,247733,17455
2020,3,816373.0,348606.70163344673,1953029690.9299812,0.20195157577884923,232988,149145,19216
2020,4,817980.0,1377435.1515019229,36450367183.63146,0.24141788897261013,98101,248592,23711
2040,2,819825.0,892642.9801542993,28870171905.921703,0.4553062856329241,133684,229086,21489
2040,1,815918.0,1983842.7099630143,156181568801.44305,0.4986837000054481,90845,271918,19510
2040,3,815639.0,1096729.834401948,32813360150.68289,0.3428161345880401,117773,221186,21342
2040,4,820234.0,344621.6040327117,1943575444.1549938,0.20564884201233605,217980,142950,18879
2060,2,819678.0,2372024.9729655418,175506101515.5653,0.39197969387829873,94322,272545,17511
2060,1,819018.0,267960.0720279928,1307735672.2041266,0.2288704180137721,226915,127416,17159
2060,3,814658.0,945211.3342580091,13875691633.808409,0.19516712397824437,121395,231673,24175
2060,4,818262.0,839290.8509345906,29119147480.624786,0.5194736728305971,117650,233506,22375
2080,2,813078.0,282491.28980309516,1261895675.872854,0.19871158757911697,216763,129999,17109
2080,1,817647.0,2038886.1298308596,159189304192.34708,0.4812135033383514,99932,270885,19883
2080,3,821467.0,868405.8413175303,30078545652.72266,0.5012117289654782,117940,234335,22460
2080,4,819424.0,949451.7855574064,29278930781.26007,0.4081494784025828,125647,229921,21768
2100,2,811653.0,817826.4718326143,28725063436.995556,0.5396951716046309,116563,231783,22214
2100,1,820372.0,300854.4599374141,1520094362.4747045,0.21104132479667517,224711,126864,17056
2100,3,825666.0,1932429.9099468559,143747290332.17584,0.4837288938851389,107381,262291,18909
2100,4,813925.0,1309421.0480351255,45816228170.55653,0.3357921674335178,111627,244202,23041
2120,2,817891.0,927146.859674504,13565436886.604347,0.1983109001590665,183696,224746,22949
2120,1,811339.0,941894.5011674856,30932435466.43522,0.43814661078467254,116123,229318,21942
2120,3,820724.0,2138667.951898493,149710205046.36697,0.4113149983795777,88126,262541,19503
2120,4,821662.0,1034837.1664302886,25600598902.79612,0.3004110845116147,172337,148535,16826
2140,2,822353.0,2290551.020748416,144695516868.90732,0.3465652386390865,90177,263025,20214
2140,1,814904.0,1130740.0659982238,20984452342.104202,0.20624429367327676,212386,138452,16782
2140,3,822354.0,993384.9870168988,30343752971.43004,0.3864060998932062,122136,231755,22462
2140,4,812005.0,1063649.8232857499,23784954119.761192,0.26418906478054627,135583,231908,21762
2160,2,812417.0,1558743.3744646925,45317383112.8443,0.23438264248019744,117758,232524,20687
