step,district,population,perimeter,area,polsby_popper
2000,2,820539.0,2175527.0445883265,166093845614.61984,0.44099577792640954
2000,1,822694.0,906670.0024210257,24855298192.878952,0.3799534108568292
2000,3,817839.0,864012.6987806249,27759192113.672066,0.4672791846744873
2000,4,810544.0,290244.1533965308,1100340381.0317652,0.16413830902122584
2020,2,823836.0,898699.0906564259,30804275080.78929,0.4792832510577104
2020,1,811682.0,249207.43769355456,1096945445.9234319,0.2219590686109415
2020,3,825963.0,2215617.1102765216,160920776749.16696,0.4119386709686003
2020,4,810135.0,890011.6122280393,26986679026.322952,0.4281224101095826
2040,2,811513.0,417946.6570519215,3315927698.328925,0.2385465856056408
2040,1,821316.0,904028.3123769908,26163763317.582367,0.402296275572259
2040,3,817546.0,1238474.9608192337,26549934478.73822,0.21751983070172548
2040,4,821241.0,2321252.2051264094,163779050807.5531,0.38196498723202654
2060,2,818106.0,1240914.0510665341,37442344028.67277,0.3055550663174361
2060,1,819542.0,2151628.268775507,150811014748.01697,0.4093628646428556
2060,3,810091.0,357327.99445248,2258576425.6512437,0.22228521192140038
2060,4,823877.0,1071003.1310762682,29296741099.86161,0.32095762388891685
2080,2,822849.0,243740.5447093792,1067739668.6252358,0.22584978799682354
2080,1,818625.0,1111260.668261824,29722901287.30438,0.30246085577065407
2080,3,816437.0,2156019.0470794747,161743094778.34546,0.43725061211292154
2080,4,813705.0,856553.1529416831,27274940567.92752,0.4671593450188842
2100,2,821295.0,863968.9963319239,26714600588.726967,0.449740743343581
2100,1,815971.0,1275118.477164649,40774619585.46972,0.3151364976093991
2100,3,810886.0,312849.1939874344,1893444930.517536,0.243104199817644
2100,4,823464.0,2164346.9697588966,150426011197.48837,0.40353298016793687
2120,2,814943.0,276584.2679884278,1084990853.4217825,0.17823007635331908
2120,1,818267.0,904393.6154749376,24787742504.95381,0.3808306241092797
2120,3,823552.0,2066218.0277341455,153090390682.64145,0.45061485281702124
2120,4,814854.0,1271334.1939996076,40845552261.18555,0.3175668640501145
2140,2,819490.0,950280.6314952126,29487683250.531067,0.41034274712617563
2140,1,821400.0,1265118.7305349885,29196507641.042652,0.2292335598819656
2140,3,817903.0,330008.29076766537,2682470977.8001637,0.30952461669616427
2140,4,812823.0,2120649.897417368,158442014432.8287,0.4427333807899476
2160,2,810445.0,671536.4211632233,11823345261.559155,0.3294663709571932
2160,1,817655.0,1056953.9971764463,19914688380.483704,0.22401196111237076
2160,3,824987.0,1066188.7270642729,27336362976.95798,0.30219162479701334
2160,4,818529.0,2091916.4692787626,160734279683.20178,0.4615616255622089
2180,2,811543.0,1210353.8572446005,32851591128.469444,0.28180036795296254
2180,1,825749.0,2550650.718783847,150990500439.11853,0.2916469950579809
2180,3,820830.0,609342.0271454023,6893995568.742624,0.2333235619826701
2180,4,813494.0,926082.446301609,29072589165.87199,0.42598496448063644
2200,2,814380.0,843529.3640769129,29212526265.37948,0.5159154919535165
2200,1,815065.0,1094601.5512073939,29261312792.305443,0.30689622903058783
2200,3,818635.0,346321.1533340614,1372873355.2173247,0.14384087030821574
2200,4,823536.0,2032873.6043736204,159961963889.3004,0.48641374397207965
2220,2,819766.0,421298.8110552382,2266234491.915533,0.1604479757099477
2220,1,812999.0,2133536.2966018445,164814238984.5041,0.4549927978428498
2220,3,820891.0,212183.38557334075,1256412673.4553015,0.350686803215695
2220,4,817960.0,1232892.6828826442,51471790152.32771,0.4255284356395721
2240,2,815047.0,2220934.3695203396,155860121664.1939,0.39707580497019457
2240,1,816881.0,540330.9261670533,5269206053.852882,0.22679600249956258
2240,3,819458.0,590922.990482212,8407645558.144177,0.3025676449018701
2240,4,820230.0,1330230.5076775798,50271703026.01165,0.3570094025691836
2260,2,815162.0,2037844.3696424272,165484331690.45746,0.5007543339799815
2260,1,812614.0,666628.624214317,7235794408.335138,0.20461061800779734
2260,3,821538.0,777017.4405817605,18806862141.04216,0.39143952101786433
2260,4,822302.0,960090.8876909147,28281688062.36787,0.3855586902468153
2280,2,814587.0,2222205.2196943033,165920362159.8087,0.4222223555201245
2280,1,821754.0,904750.0306098887,22116346456.585598,0.3395205265061142
2280,3,820711.0,445717.6032487282,4563240692.753252,0.28864475324582756
2280,4,814564.0,926866.1515130375,27208726993.05511,0.3980008892492984
2300,2,815142.0,253036.55389862106,1256483701.7821982,0.24660404446768192
2300,1,815274.0,1121970.1468840488,47979915546.889885,0.47896826606184795
2300,3,815762.0,2306970.1459397282,166026605669.9964,0.3920158296248246
2300,4,825438.0,459957.00923223014,4545671383.534164,0.2700060016145431
2320,2,813285.0,299944.53340952063,1611520648.3291838,0.22509395715211308
2320,1,826023.0,1244878.8500475115,29406661892.252625,0.23845224475727028
2320,3,810858.0,2540227.2370922947,155725803288.37027,0.3032671061319642
2320,4,821450.0,975712.9245146345,33064690473.25049,0.43644569087117824
2340,2,814866.0,222834.4495437935,838051813.5463253,0.21208798676135476
2340,1,810830.0,2021672.1916403743,166905037104.53012,0.5131659511333471
2340,3,822897.0,723505.999521021,11854972889.71016,0.284594272533565
2340,4,823023.0,1236928.3780958804,40210614494.41594,0.3302641754202881
2360,2,812246.0,507463.58302533417,4113934922.175195,0.2007509080094752
2360,1,817980.0,2242663.271403851,166113841298.54297,0.4150376965273063
2360,3,825922.0,851256.9814675932,22287297405.165077,0.3864967968047121
2360,4,815468.0,836710.0535966235,27293602676.319324,0.48991501998393944
2380,2,816144.0,316883.327040422,1562094536.4807322,0.19548723281075972
2380,1,816488.0,1021513.1717920417,26519576347.150337,0.3193658713885368
2380,3,822196.0,974155.7637461195,30592178197.183556,0.40510113079899407
2380,4,816788.0,2020407.8884713477,161134827221.38794,0.49604510774680777
2400,2,817684.0,941198.3516498788,20626600133.052456,0.29260059009305406
2400,1,817756.0,856581.9650890798,27399524910.48559,0.4692616290437754
2400,3,819346.0,1980079.9547573505,167115044981.256,0.535623915251545
2400,4,816830.0,554690.8249166064,4667506277.408498,0.19063068572705638
2420,2,821351.0,313632.7010260513,1577191610.559422,0.20148914121847447
2420,1,821627.0,958557.8846458773,29622560016.43954,0.40513126901867497
2420,3,814579.0,1214613.032473118,35136622774.57808,0.2992912408095298
2420,4,814059.0,2102032.5936938957,153472301900.62555,0.4364766138486301
2440,2,820541.0,465124.5064630293,2426514787.4416065,0.14094652142500758
2440,1,818226.0,2103405.885891124,163699388136.75995,0.46495481595622673
2440,3,812902.0,840007.2273429488,28273244047.03256,0.5035231709080795
2440,4,819947.0,840334.9013591809,25409529330.96846,0.45216993436434366
2460,2,825508.0,902147.222426364,28140846923.451458,0.434502415487975
2460,1,820299.0,2189718.2930733506,160684110825.6851,0.4211204240073496
2460,3,813001.0,749773.3607963693,7576865738.020961,0.1693711528430294
2460,4,812808.0,1028988.6537761921,23406852815.045063,0.27779966408823414
2480,2,812680.0,692154.6991331709,13163434716.237764,0.34528105061751463
2480,1,824389.0,867312.6891191578,15460607355.382502,0.2582765723364546
2480,3,823951.0,1428060.3421026422,48080801653.94998,0.29627052465764464
2480,4,810596.0,2483336.707003761,143103832576.63235,0.2916016070265597
2500,2,814434.0,887761.9595275569,11365651068.212032,0.18122208368104278
2500,1,820683.0,976574.6739364167,19608331656.16231,0.25836851759398954
2500,3,812751.0,872042.8934977397,27533856101.351242,0.4549893255579942
2500,4,823748.0,2240655.4683008725,161300837476.47696,0.4037349258367368
2520,2,818040.0,813566.2979989913,19307393912.922916,0.36656215242003304
2520,1,809827.0,873581.59187233,27508364750.27929,0.4529681752502891
2520,3,825632.0,1599063.421766464,41159833761.18689,0.20227960554498506
2520,4,818117.0,2276929.5782327587,131833083877.81345,0.3195472451292912
2540,2,822566.0,868509.3537151485,26448596669.6206,0.44061928121690525
2540,1,810589.0,850839.1127435582,27672960345.18064,0.48036415501987734
2540,3,819572.0,912075.1472153822,11773482837.157034,0.17784987944519623
2540,4,818889.0,2011798.0584144336,153913636450.2442,0.4778792724839162
2560,2,816951.0,1391136.47650772,31261198115.098778,0.20299063693089456
2560,1,824160.0,450314.3951203901,3669181879.7939787,0.22737747726228355
2560,3,814771.0,1946583.5036312707,135773024372.88698,0.4502744235466653
2560,4,815734.0,1182092.6663349597,49105271934.42276,0.4416059725767112
2580,2,809828.0,1072280.8071493765,31670922469.185513,0.346141372970563
2580,1,826055.0,2128540.149274603,168713411717.34256,0.4679460428088879
2580,3,814443.0,561255.8321890351,5230055205.153208,0.20863847669025073
2580,4,821290.0,699640.3629913693,14194286910.52126,0.3643961086748626
2600,2,821485.0,830412.6302213677,18406967825.61635,0.33543179422395775
2600,1,822638.0,2557845.803093833,166477416989.40616,0.31975435850227374
2600,3,816407.0,640483.1680776798,7418271138.070619,0.22724645909973099
2600,4,811086.0,927968.3041784083,27506020349.109406,0.4013944272516731
2620,2,816142.0,2162042.964668118,158075502126.59232,0.4249577890372313
2620,1,821447.0,966109.0032660274,32062545452.66947,0.431673713549635
2620,3,810783.0,283240.407347185,1243750088.1669924,0.1948195643956264
2620,4,823244.0,1194736.2675813623,28426878634.77375,0.2502620193647601
2640,2,811067.0,2157712.551384894,167016478722.05048,0.45079803190226975
2640,1,823279.0,664981.3425002196,14976273281.60617,0.4255932188424514
2640,3,817719.0,434454.17935015156,2703727416.368279,0.18000510008057177
2640,4,819551.0,1141814.1622079005,35112196882.17765,0.33843636070409355
2660,2,816669.0,952761.8485101429,23863967153.60323,0.3303572101931004
2660,1,817418.0,280816.10415469273,1328266428.6563442,0.21166596957716124
2660,3,816891.0,2138494.4135580286,166286522940.51297,0.4569310556079605
2660,4,820638.0,886701.30772208,28329919779.430058,0.4527938409782833
2680,2,809903.0,2001124.4605576666,161265275954.56326,0.5060606010650831
2680,1,819248.0,1285382.5573244356,41777790974.472565,0.31775363850959376
2680,3,824001.0,664343.42769971,15882916052.163393,0.4522252616009233
2680,4,818464.0,260488.14061166917,882693321.0033892,0.16347215696563916
2700,2,825373.0,650921.8005863946,11271765679.300116,0.33430600810043787
2700,1,815035.0,1411959.0117289429,39549081936.52269,0.2492884121560425
2700,3,821219.0,906364.7975562762,19000552441.748867,0.2906498031682083
2700,4,809989.0,2378759.974445626,149987276244.63086,0.33309110691557314
2720,2,818843.0,239349.26586825488,662814585.7914649,0.14539106620011627
2720,1,812426.0,1158235.8783346936,43749220886.10579,0.4098134045711458
2720,3,815470.0,2061447.6131062713,161485656413.2026,0.4775284070135053
2720,4,824877.0,673606.1926890662,13910984417.102652,0.38526147754248813
2740,2,812112.0,2151781.6124514723,162583585436.1129,0.44125554578309695
2740,1,815930.0,405056.83401061106,3232135641.7612605,0.24755261289614372
2740,3,823472.0,896173.8838004067,28199362519.477356,0.4412295471714954
